MAF/TIGER Object Identifier,Zip Code Tabulation Area Code,Geographic Identifier,Base Name,Legal/Statistical Area Description Code,Name,ZIP Code Tabulation Area FIPS Class Code,MAF/TIGER Feature Class Code,Functional Status,Land Area (Square Meters),Water Area (Square Meters),Centroid Latitude,Centroid Longitude,Internal Point Latitude,Internal Point Longitude,Decennial Housing Count,Decennial Population Count,Object ID,Shape Area,Shape Length
2.21704E+14,24220,24220,24220,Z5,ZCTA5 24220,B5,G6350,S,58154483,106250,37.1195483,-82.2263632,37.1218789,-82.2230958,315,621,24667,91800512.34,80391.21138
2.21704E+14,22660,22660,22660,Z5,ZCTA5 22660,B5,G6350,S,30996216,361131,38.9562654,-78.4382524,38.9549414,-78.4402361,773,1715,24668,51929358.85,59441.39478
2.21704E+14,24019,24019,24019,Z5,ZCTA5 24019,B5,G6350,S,78320806,460182,37.3445932,-79.9556686,37.3439445,-79.9545459,11979,27630,24669,124870607.8,108690.6001
2.21704E+14,23692,23692,23692,Z5,ZCTA5 23692,B5,G6350,S,50302435,23833107,37.1908273,-76.4501337,37.2122259,-76.4212724,8112,19539,24670,117032480.3,83191.92631
2.21704E+14,24350,24350,24350,Z5,ZCTA5 24350,B5,G6350,S,126262449,511104,36.8110558,-81.0175598,36.8133007,-80.9941822,631,1173,24671,198156610.3,93304.48031
2.21704E+14,22601,22601,22601,Z5,ZCTA5 22601,B5,G6350,S,25316586,54462,39.1742831,-78.1743188,39.174203,-78.1742889,13033,29720,24672,42273976.89,34897.16718
2.21704E+14,22443,22443,22443,Z5,ZCTA5 22443,B5,G6350,S,153491939,15075323,38.1812677,-76.9974204,38.1695144,-76.9868049,5234,9151,24673,273247500.1,108131.6544
2.21704E+14,23219,23219,23219,Z5,ZCTA5 23219,B5,G6350,S,3437194,391747,37.5407921,-77.4348421,37.5406042,-77.4347331,4022,5307,24674,6100641.273,16466.48412
2.21704E+14,23607,23607,23607,Z5,ZCTA5 23607,B5,G6350,S,15548811,40616634,36.9719543,-76.4242736,36.9705147,-76.424339,10613,23498,24675,88158258.84,44419.93096
2.21704E+14,24620,24620,24620,Z5,ZCTA5 24620,B5,G6350,S,184649671,215419,37.4333104,-82.0193192,37.431352,-82.0117572,1102,2208,24676,293706184.1,141739.0386
2.21704E+14,22936,22936,22936,Z5,ZCTA5 22936,B5,G6350,S,96751509,2079449,38.1671015,-78.4997367,38.1599975,-78.4991279,2219,5356,24677,160143013.1,94764.38597
2.21704E+14,24141,24141,24141,Z5,ZCTA5 24141,B5,G6350,S,169827711,9314435,37.1009734,-80.5667197,37.1071583,-80.5618885,10008,20308,24678,282134587.7,196430.5683
2.21704E+14,23669,23669,23669,Z5,ZCTA5 23669,B5,G6350,S,31317709,5191653,37.0506208,-76.3394974,37.0507079,-76.3392737,18001,41030,24679,57423373.23,57307.81383
